month;day;hour;Hothouse;Coldhouse
1;26;:0510;0.112731404;0.021635658
1;26;:0610;0.105685892;0.010817942
1;26;:0710;0.119777146;0.010817942
1;26;:0810;0.160766801;0
1;26;:0910;0.145884465;0.00058308
1;26;:1010;0.125043926;0.00058308
1;26;:1110;0.119058917;0.00058308
1;26;:1210;0.119058917;0.00058308
1;26;:1310;0.135464539;0.00058308
1;26;:1410;0.139899457;0.00058308
1;26;:1510;0.129478843;0.00058308
1;26;:1610;0.180946502;0.021635658
1;26;:1710;0.112731404;0.021635658
1;26;:1810;0.112731404;0.021635658
1;26;:1910;0.126822658;0.043271542
1;26;:2010;0.126822658;0.043271542
1;26;:2110;0.140913912;0.064906861
1;26;:2210;0.133868858;0.054089145
1;26;:2310;0.140913912;0.064906861
1;27;:0010;0.147960111;0.054089145
1;27;:0110;0.147960111;0.054089145
1;27;:0210;0.155006311;0.064906861
1;27;:0310;0.155006311;0.064906861
1;27;:0410;0.162051365;0.075724803
1;27;:0510;0.162051365;0.075724803
1;27;:0610;0.155006311;0.064906861
1;27;:0710;0.169097565;0.086542745
1;27;:0810;0.241483886;0.086542745
1;27;:0910;0.197986158;0.037206154
1;27;:1010;0.144334375;0.00058308
1;27;:1110;0.108638304;0.00116616
1;27;:1210;0.087797764;0.00116616
1;27;:1310;0.09821769;0.00116616
1;27;:1410;0.129478843;0.00116616
1;27;:1510;0.187566232;0.021635658
1;27;:1610;0.221304758;0.064906861
1;27;:1710;0.147960111;0.054089145
1;27;:1810;0.147960111;0.054089145
1;27;:1910;0.162051365;0.075724803
1;27;:2010;0.155006311;0.064906861
1;27;:2110;0.162051365;0.075724803
1;27;:2210;0.162051365;0.075724803
1;27;:2310;0.169097565;0.086542745
1;28;:0010;0.176143077;0.097360687
1;28;:0110;0.176143077;0.097360687
1;28;:0210;0.176143077;0.097360687
1;28;:0310;0.183188818;0.108178403
1;28;:0410;0.183188818;0.108178403
1;28;:0510;0.183188818;0.108178403
1;28;:0610;0.176143077;0.097360687
1;28;:0710;0.190234331;0.118996345
1;28;:0810;0.246585714;0.091295299
1;28;:0910;0.19200115;0.026388212
1;28;:1010;0.145884465;0.00058308
1;28;:1110;0.087797764;0.00116616
1;28;:1210;0.07737715;0.00058308
1;28;:1310;0.09821769;0.00116616
1;28;:1410;0.09821769;0.00116616
1;28;:1510;0.145884465;0.00058308
1;28;:1610;0.20112563;0.043271542
1;28;:1710;0.133868858;0.0324536
1;28;:1810;0.140913912;0.043271542
1;28;:1910;0.147960111;0.054089145
1;28;:2010;0.140913912;0.043271542
1;28;:2110;0.147960111;0.054089145
1;28;:2210;0.140913912;0.043271542
1;28;:2310;0.147960111;0.054089145
1;29;:0010;0.147960111;0.054089145
1;29;:0110;0.140913912;0.043271542
1;29;:0210;0.140913912;0.043271542
1;29;:0310;0.140913912;0.043271542
1;29;:0410;0.147960111;0.054089145
1;29;:0510;0.147960111;0.054089145
1;29;:0610;0.140913912;0.043271542
1;29;:0710;0.147960111;0.054089145
1;29;:0810;0.191035722;0.0324536
1;29;:0910;0.171159923;0.004752554
1;29;:1010;0.150319383;0.00058308
1;29;:1110;0.129478843;0.00058308
1;29;:1210;0.129478843;0.00058308
1;29;:1310;0.150319383;0.00058308
1;29;:1410;0.177145618;0.010817942
1;29;:1510;0.177145618;0.010817942
1;29;:1610;0.181613298;0.021635658
1;29;:1710;0.119777146;0.010817942
