month;day;hour;P [W]
1;22;:1310;156.2663636
1;22;:1410;142.7372727
1;22;:1510;10.90909091
1;22;:1610;0
1;22;:1710;0
1;22;:1810;0
1;22;:1910;0
1;22;:2010;0
1;22;:2110;0
1;22;:2210;0
1;22;:2310;0
1;23;:0010;0
1;23;:0110;0
1;23;:0210;0
1;23;:0310;0
1;23;:0410;0
1;23;:0510;0
1;23;:0610;0
1;23;:0710;36.38272727
1;23;:0810;154.2481818
1;23;:0910;228.1390909
1;23;:1010;247.6536364
1;23;:1110;261.1481818
1;23;:1210;221.7072727
1;23;:1310;167.1709091
1;23;:1410;135.9745455
1;23;:1510;9.425454545
1;23;:1610;0
1;23;:1710;0
1;23;:1810;0
1;23;:1910;0
1;23;:2010;0
1;23;:2110;0
1;23;:2210;0
1;23;:2310;0
1;24;:0010;0
1;24;:0110;0
1;24;:0210;0
1;24;:0310;0
1;24;:0410;0
1;24;:0510;0
1;24;:0610;0
1;24;:0710;20.68636364
1;24;:0810;113.3818182
1;24;:0910;183.1654545
1;24;:1010;252.3409091
1;24;:1110;304.4590909
1;24;:1210;260.7136364
1;24;:1310;233.4490909
1;24;:1410;152.9181818
1;24;:1510;14.01090909
1;24;:1610;0
1;24;:1710;0
1;24;:1810;0
1;24;:1910;0
1;24;:2010;0
1;24;:2110;0
1;24;:2210;0
1;24;:2310;0
1;25;:0010;0
1;25;:0110;0
1;25;:0210;0
1;25;:0310;0
1;25;:0410;0
1;25;:0510;0
1;25;:0610;0
1;25;:0710;29.88727273
1;25;:0810;150.2236364
1;25;:0910;169.6890909
1;25;:1010;286.9927273
1;25;:1110;313.4127273
1;25;:1210;326.1890909
1;25;:1310;260.4990909
1;25;:1410;178.0872727
1;25;:1510;41.43090909
1;25;:1610;0
1;25;:1710;0
1;25;:1810;0
1;25;:1910;0
1;25;:2010;0
1;25;:2110;0
1;25;:2210;0
1;25;:2310;0
1;26;:0010;0
1;26;:0110;0
1;26;:0210;0
1;26;:0310;0
1;26;:0410;0
1;26;:0510;0
1;26;:0610;0
1;26;:0710;55.62090909
